Region,Country,Region Code,Property Type,Abbreviation,Code,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Europe,Czech Republic,CZ,Shopping Center,RSM,CZ.RSM.EUI,kWh/sqm,210.457129067229,200.926465585378,191.827403289036,183.140396888027,174.846786211076,166.928756122731,159.369298255464,152.152174474752,145.261881998665,138.683620097034,132.403258298658,126.407306038271,120.682883678061,115.21769484149,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Czech Republic,CZ,Retail Warehouse,RWB,CZ.RWB.EUI,kWh/sqm,184.701957998316,174.741603044638,165.318376510596,156.403312868302,147.969008603301,139.989537980439,132.440373352205,125.298309764565,118.541393628558,112.148855238387,106.101044928584,100.379372674008,94.9662509470056,89.8450406560957,85.0000000000001,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Europe,Czech Republic,CZ,Hotel,HOT,CZ.HOT.EUI,kWh/sqm,260.867713873909,245.511362621397,231.05898495875,217.457367187106,204.65642810813,192.609034624887,181.270828197638,170.600061515555,160.557444783002,151.10600105438,142.210930084903,133.839480195992,125.96082768349,118.545963324692,111.567585566295,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
Europe,Czech Republic,CZ,Distribution Warehouse Cold,DWC,CZ.DWC.EUI,kWh/sqm,147.228503446721,139.613704443714,132.392750127698,125.545270474802,119.051949018269,112.894468357478,107.055458485285,101.518447787929,96.2678165792643,91.2887530382514,86.5672114254004,82.0898724603012,77.8441057484639,73.8179341514816,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Europe,Czech Republic,CZ,Distribution Warehouse Warm,DWW,CZ.DWW.EUI,kWh/sqm,56.233108955345,53.579916238728,51.051906563246,48.6431735378218,46.3480894469497,44.1612921022144,42.077672314181,40.092361955388,38.2007225865513,36.3983346194085,34.6809869908807,33.0446673244301,31.4855525556231,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Europe,Czech Republic,CZ,Healthcare,HEC,CZ.HEC.EUI,kWh/sqm,245.056563305532,233.552082423794,222.587693505206,212.138041270231,202.178960774028,192.687421524723,183.641474225124,175.020200014717,166.803662094544,158.972859623124,151.509683776782,144.396875872776,137.617987458391,131.157342273694,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Europe,Czech Republic,CZ,Leisure/Lodging,LEI,CZ.LEI.EUI,kWh/sqm,228.497267626782,216.871894636928,205.837991727032,195.365466369671,185.425757070417,175.99175547268,167.03773242567,158.539267813832,150.47318395639,142.817482395349,135.551283899577,128.654771521319,122.109136549865,115.896527214948,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Denmark,DK,Residential Single-Family,RSF,DK.RSF.EUI,kWh/sqm,159.719676516893,150.992579797378,142.742332385428,134.942879194292,127.569588789375,120.599175599764,114.009626380125,107.78013069072,101.891015176011,96.3236814342809,91.060547282066,86.0849912279029,81.3812999800365,76.934618822311,72.7309047015254,68.7568818781011,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Europe,Denmark,DK,Residential Multi-Family,RMF,DK.RMF.EUI,kWh/sqm,156.953967832618,147.798825766729,139.177704136284,131.059453471027,123.4147412527,116.215945932034,109.437057127744,103.053581646922,97.0424549872738,91.3819580014406,86.0516384222984,81.0322369656956,76.3056177436263,71.8547027364103,67.6634100871185,63.7165959952908,59.9999999999999,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Europe,Denmark,DK,Office,OFF,DK.OFF.EUI,kWh/sqm,169.219668161759,161.627545669961,154.376047436303,147.449891188225,140.834480299739,134.515873029558,128.480753139384,122.716401830408,117.210670938898,111.951957334381,106.929178466462,102.131749008742,97.5495585506281,93.1729502900015,88.9927006818544,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Europe,Denmark,DK,Retail High Street,RHS,DK.RHS.EUI,kWh/sqm,262.22943552527,248.371004016857,235.244969782947,222.812626728456,211.037314317243,199.8843094674,189.320724159702,179.31540845731,169.838858650721,160.863130257136,152.361755617664,144.309665849406,136.683116922242,129.459619642354,122.617873336014,116.137703038081,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Denmark,DK,Shopping Center,RSM,DK.RSM.EUI,kWh/sqm,254.075230821525,239.789763403825,226.307501315044,213.583284058747,201.574490302972,190.24089511484,179.544535222182,169.449581850894,159.922220712043,150.930538736743,142.444417179407,134.435430731299,126.876752306461,119.74306318109,113.010468185356,106.656415663586,100.659621934719,95.0000000000001,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Europe,Denmark,DK,Retail Warehouse,RWB,DK.RWB.EUI,kWh/sqm,181.09893086816,171.390786799544,162.203065799165,153.507869623236,145.27879556507,137.490856284039,130.120403932254,123.145058348571,116.543639101892,110.29610117741,104.383474110514,98.7878043835325,93.4921009104079,88.4802834437623,83.7371337477024,79.2482493880949,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
